"mr. speaker , i rise in opposition to the rules package that we have before us today . it is outrageous that my republican colleagues have placed before us a rules package that at best lacks integrity , and at worst is completely unethical . as the highest body of elected officials in our country , we should be held to the highest ethical standards . but instead , my republican colleagues have opted to put before us a rules package that actually lowers our ethics standards , so that they may promote their own agenda , at whatever cost . this rules package makes it far more difficult for ethics investigations to take place . by requiring a majority of the ethics committee before an investigation can even begin , we are in great danger of diminishing the integrity of our great institution . with this new rule , the majority party can effectively block any ethics investigation of a member of their party . this is an abuse of power . and it 's not just democrats who oppose this plan . americans across the country have expressed their opposition to this plan . my democratic colleagues and i have a better plan that will strengthen the ethics rules to improve congressional accountability and to make sure that legislation is properly considered . the republican plan fails to close a loophole that allows legislation to be considered before members have read it . last year this led to the passage of a provision that would have let the federal government deeply invade citizens ' privacy by reading their tax returns . i am appalled that the republicans have failed to include the democratic provision to tighten this loophole . mr. speaker , i urge my colleagues to vote `` no '' on the resolution , so that we do not allow this rules package to become law . ",D
"mr. speaker , i rise for a constitutional point of order . ",D
"mr. speaker , the resolution we are preparing to consider , the proposed rules for the 109th congress , in my judgment violates the united states constitution which we were just sworn to uphold and defend . it does so by allowing a very limited number of members , potentially only a handful , to constitute the house of representatives . article 1 , section 5 of the constitution states that `` each house shall be the judge of the elections , returns and qualifications of its members , and a majority of each shall constitute a quorum to do business ; but a small number adjourn from day to day , and may be authorized to compel the attendance of absent members. '' unfortunately , h. res. 5 seeks to allow a small number not just to adjourn or compel attendance , as the constitution stipulates , but to enact laws , declare war , impeach the president , and fulfill all other article i responsibilities . the very first act of the very first congress of the united states was to recess day after day after day because they lacked a quorum . just moments ago everyone in this body took an oath to uphold and defend the constitution , and now our first official vote is by rule to undermine a fundamental principle of that constitution , i.e. , what is a quorum . it is my understanding that the speaker is reluctant to judge on matters of constitutionality . i respect that . but i would reserve and inform the speaker it is my intent to ask the question of consideration to be put . ",D
"mr. speaker , consistent with the oath of office that i just took , i would request that the question of consideration be put to the body . ",D
"mr. speaker , on that i demand the yeas and nays . ",D
"mr. speaker , i rise in strong support of this balanced rules package . i want to speak particularly to the provisions regarding homeland security . to determine whether a proposed regime to oversee homeland security is appropriate , one can not just look at a flow chart . the simplest structure is not necessarily the best , nor is one that is unduly complex . one has to look at how a proposed structure will actually function and what it can and can not accomplish . the homeland jurisdiction being proposed in this package strikes the right balance between a system that is too centralized and one that is too diffuse . first , i should say that the most important and necessary change regarding governance of the department of homeland security was made 2 years ago when we created a subcommittee on homeland security on the committee on appropriations . but having a single committee that can look across the department of homeland security from an authorizing perspective is also a sensible move , and the new committee created in this package will do that . what would not make sense , however , simple as it might seem , is giving sole authority over all aspects of homeland security to the new committee . homeland security is too diffuse and important a government activity to rest with one committee . almost every activity of every federal agency has some relationship to homeland security , and almost every activity of the department of homeland security impinges on the activities of other agencies . an appropriate congressional oversight structure has to take account of that basic fact . a structure that overly centralized homeland security oversight would make it harder to evaluate the department of homeland security in the context of the other activities of the federal government . an overcentralized structure could also make a congressional committee a captive of the agency that it oversees . i know that it is very easy to denigrate arguments against a single , centralized select committee on homeland security as so much turf fighting . but in reality it is simply intellectually lazy to assume that a centralized structure would enable congress to do its work more effectively . i found especially ironic a washington post editorial that called for a highly centralized structure . the editorial argued that a centralized committee would be more efficient because the department of homeland security would not have to answer questions from a lot of different committees . well , it would also be more efficient if the department did not have to respond to questions from a lot of different news outlets , but presumably the post would argue that there are advantages to forcing the department to respond to reporters with a variety of areas of expertise and a variety of perspectives . the post certainly would not want the only news outlet to be an in-house publication . so i want to applaud the house leadership for doing what it has done , and i stand in strong support of this rules package . ",R
"mr. speaker , the chairman of the committee on standards of official conduct is correct when he says that ethics reform must be bipartisan and if the house is to have meaningful bipartisan ethics process , changes of this magnitude can be made , as they were in 1997 , only after thoughtful , careful consideration on a bipartisan basis . there has been no effort to look at the rules changes on ethics in a bipartisan manner . in 1997 when i co-chaired the committee on ethics reform along with bob livingston , the changes that we made were done after deliberation , and after democrats and republicans , working together , came before the house and we did make major changes . and we instituted the 45-day rule for assigning a proper complaint for investigation ; but we changed the rules in 1997 . we made it clear that you can move towards an informal investigation without a finding that it merits further inquiry or a resolution of preliminary inquiry because we did not want any matter of guilt or wrongdoing for the committee to be able to get the facts necessary to decide whether to go to formal investigation . yet this rules change which would allow after 45 days inaction to dismiss a complaint makes inaction action , and it can be done on a very partisan basis . now , that is wrong . that is not how it should be . the rules as they are currently configured in order to move a complaint past the committee , you have to have the bipartisan agreement of the committee because you have to have a vote in the committee . it guarantees a process will move forward in a bipartisan manner and , in fact , the committee on standards of official conduct has operated in a bipartisan manner because of the way the rules are configured . if this rule is changed , you are making it much more likely that the committee on standards of official conduct will act in a very partisan matter because they will be able to delay for 45 days , which does not take a lot of effort to figure out how to delay for 45 days . we have enough lawyers on the committee on standards of official conduct that will be able to figure out that one . and it will be done on a partisan basis that will leave a cloud on the member and a cloud on this institution . you should not have that in this rule . ",D
"mr. speaker , we are making a terrible mistake here today by changing the rule in terms of the provision that would simply require no action after a 45-day period because , as the earlier speaker immediately preceding me indicated , what we will have done is change a nonpartisan committee that is based on a nonpartisan process into one that provides for a partisan veto over action where the behavior of an individual member or members is at question . that , i suggest and submit , is something that this institution will suffer from . there has been much discussion recently regarding this package . it was anticipated that there would be additional provisions that were not submitted today , but let us be clear what is at risk here . it is the confidence of the american people in the integrity of this institution . perception , as we all know , is reality . and when the american people understand very clearly that we now have a committee on standards of official conduct in which either side has a veto , it will undermine the confidence of the people in our ethical process . my question to the proponents would be , what is wrong with the current rules ? we have operated on them . ",D
"mr. speaker , i offer a privileged resolution ( h. res. 5 ) and ask for its immediate consideration . ",R
"mr. speaker , for the purposes of debate only , i yield the customary 30 minutes to the gentlewoman from california ( ms. pelosi ) xz4003140 or her designee , pending which i yield myself such time as i may consume . during consideration of the resolution , all time yielded is for the purpose of debate only . mr. speaker , i rise in support of this rules package . i am also rising in support of the historic legislative agenda it will govern , for today marks the beginning of what historians will likely look back upon as the most productive and significant congress in decades . the mandate granted the majority , evidenced by our increased majorities in both houses of congress and the first presidential majority in 16 years , is clear . the american people have entrusted the state of their security , prosperity and families to us ; and over the course of the next 2 years , that sacred trust will be honored by action . we will continue to defend our homeland and prosecute the war on terror without retreat , and without excuses . we will provide our military , and their families , with the resources they need to do their heroic work on behalf of the nation they serve . we will hold rogue regimes accountable for their mischief , and hold fast to our friends around the world , from defiant democrats in israel and taiwan , to longstanding comrades-in-arms like the british and australians , to our resurgent allies in new europe . we will work with our ever-expanding coalition of the willing to secure the fledging democracies in afghanistan and iraq , and with every political , economic , diplomatic and military tool at our disposal , see the war on terror through to victory . domestically , our agenda will be no less audacious . we will continue the work begun in president bush 's first term to cultivate an opportunity society of economic choice and independence . we will continue to break down the walls , erected by 40 years of liberal policies , between the american people and their dreams . we will continue to provide seniors with access to affordable , quality health care while empowering them with unprecedented retirement security . we will continue to take on the three-headed monster of over-taxation , over-litigation and over-regulation that cuts the legs out from every sector of our economy . and while the 109th congress helps increase our national security and prosperity , we will also help american families raise their children in a society defined by the values that made our nation secure and prosperous in the first place . we will continue to better protect and educate our children , to protect the institution of marriage , to protect the constitution from judicial activism , and protect the role of family and faith in the public square . this rules package before us now will help us do this important work , work the american people have hired us to do . and yet , rather than laying out a positive vision for the next 2 years , or for that matter even discussing the substance of the rules package itself , some may choose this debate to launch the first of what i imagine will be countless personal attacks against the integrity of the majority and , ultimately , the integrity of this institution . it is a new year , mr. speaker , but an old game , and one to which we can not afford to stoop . too much is at stake ; too much depends on the success of this historic 109th congress . to my friends on the other side of the aisle , i would remind them all that i know what it means to be in the minority , to go into contentious votes certain of defeat , to always react to an agenda set by opponents . but i must also remind them that when republicans were in the minority , we engaged in the battle of ideas . we developed , and specifically proposed , a substantive vision for the future of our nation . in the 10 years since that vision was endorsed by our countrymen , we have been honored to work with all members of the minority on one issue or the other to develop successful legislative coalitions . with our close partisan margins and 24-hour media culture , we sometimes forget we are opponents , not enemies . we would all do well to remember that , especially given the stakes , the significance and , frankly , the sheer weight of the agenda before us . so i urge all members to support the rules package before us so we can immediately get to work on behalf of the men and women who sent us here . mr. speaker , i am honored to once again serve as leader ; but even with all of the gratitude i feel toward you , our conference and toward this body , the source of the honor i feel today is not all in this chamber . the source of the honor each of us rightfully feels today is our friends and families who have given us their love , the american people who have given us their trust , the men and women in uniform who put their lives on the line for us every day , and our heavenly creator who knitted us together in the womb . mr. speaker , may god bless the work and workers of the 109th congress , may god bless the cause of justice and freedom around the world , and may god continue to bless the united states of america . mr. speaker , i ask unanimous consent that the balance of the time allocated to me be controlled by the gentleman from california ( mr. dreier ) xz4001150 . ",R
